Frequency (Hz),Magnitude (dB),Phase (deg)
10.0,-0.01399821356652638,0.0
14.384574587179554,0.006979421539104447,0.0
20.691598605413184,-0.006985034263104991,-1.7877541195077242
29.76398434675465,0.013975690284772187,-1.2858041237798261
42.8142252847537,-0.034953325390401954,-4.623936330753395
61.586441700084826,-0.034953325390401954,-6.651335703609163
88.58947641938558,-0.12649577409502008,-9.56766345329362
127.43219311938361,-0.31976210768260743,-14.03793039403132
183.30578867336428,-0.5591679640853437,-21.380787190861213
263.67757894337814,-1.176991773593844,-30.755352807955603
379.28898012779473,-2.194057034948756,-40.5535777552638
545.5910624743533,-3.724674191522632,-48.61216366646488
784.8095332260874,-5.9131442380024035,-59.331600711892236
1128.9151267420225,-8.483107830176257,-68.27678686535751
1623.8963843215881,-11.190738727359154,-76.46603294493491
2335.9058662125076,-14.05300976148773,-81.73801807050808
3360.101216116408,-17.020037583970787,-82.73913234565043
4833.362656369919,-19.883409126785523,-86.65252570339987
6952.58656374414,-22.871316378272752,-87.47744414502876
10000.999999999998,-25.472883903486974,-90.9450936
